molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1940262,COc1cccc(NC(=O)NCc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,8.0,active,460.4900000000002,4.769600000000003,2.0,7.0,8.096910013008056
CHEMBL1940263,COc1cccc(S(=O)(=O)NCc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,1000.0,active,481.5300000000002,3.9264000000000028,1.0,8.0,6.0
CHEMBL1940264,COc1cccc(C(=O)NCc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,1000.0,active,445.4750000000002,4.377900000000003,1.0,7.0,6.0
CHEMBL1940265,COc1cccc(CNC(=O)c2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,400.0,active,445.4750000000002,4.377900000000003,1.0,7.0,6.3979400086720375
CHEMBL1940266,COc1cccc(CC(=O)Nc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,10.0,active,445.4750000000002,4.629100000000003,1.0,7.0,8.0
CHEMBL1940267,COc1cccc(COc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,20.0,active,418.4490000000002,5.026900000000005,0.0,7.0,7.698970004336019
CHEMBL1940268,CCc1cc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)n[nH]1,5.0,active,433.4680000000002,3.9060000000000024,2.0,7.0,8.301029995663981
CHEMBL1940269,CCn1ccc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)n1,20.0,active,433.4680000000002,3.8369000000000026,1.0,8.0,7.698970004336019
CHEMBL1940270,COc1cc2ncnc(Oc3ccc(CC(=O)Nc4cn[nH]c4)cc3)c2cc1OC,800.0,active,405.4140000000001,3.3436000000000012,2.0,7.0,6.096910013008056
CHEMBL1940271,COc1cc2ncnc(Oc3ccc(CC(=O)Nc4cnn(C)c4)cc3)c2cc1OC,80.0,active,419.44100000000014,3.354000000000002,1.0,8.0,7.096910013008056
CHEMBL1940272,CCn1cc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)cn1,10.0,active,433.46800000000025,3.8369000000000026,1.0,8.0,8.0
CHEMBL1940273,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cc2)cn1,4.0,active,432.4800000000002,4.441900000000003,1.0,7.0,8.397940008672037
CHEMBL1940274,COc1cc2ncnc(Oc3ccc(CC(=O)Nc4cnn(C(C)C)c4)cc3)c2cc1OC,7.0,active,447.4950000000002,4.3979000000000035,1.0,8.0,8.154901959985743
CHEMBL1940275,COc1cc2ncnc(Nc3ccc(CC(=O)Nc4cnn(C(C)C)c4)cc3)c2cc1OC,20.0,active,446.5110000000002,4.349200000000003,2.0,8.0,7.698970004336019
CHEMBL194366,COc1cc(NC(=O)Nc2cccc(C)c2)ccc1-c1csc2ncnc(N)c12,140.0,active,405.4830000000002,4.901520000000002,3.0,6.0,6.853871964321762
CHEMBL1944698,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,56.0,active,372.4720000000001,4.657700000000004,1.0,5.0,7.251811972993799
CHEMBL1944699,CN1C/C=C/COCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,210.0,active,372.4720000000001,4.405400000000004,1.0,5.0,6.6777807052660805
CHEMBL1944700,CN1C/C=C/COCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)C1,310.0,active,372.47200000000015,4.405400000000004,1.0,5.0,6.508638306165727
CHEMBL1944701,C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,42.0,active,398.5100000000002,5.190300000000005,1.0,5.0,7.376750709602099
CHEMBL1944870,CC(C)CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,190.0,active,414.5530000000001,5.683900000000005,1.0,5.0,6.721246399047171
CHEMBL1944871,C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,270.0,active,412.5370000000002,5.437900000000005,1.0,5.0,6.568636235841013
CHEMBL1944872,CC(C)(C)CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,10000.0,inactive,428.58000000000015,6.074000000000006,1.0,5.0,5.0
CHEMBL1945046,COCCN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,490.0,active,416.5250000000001,4.674300000000004,1.0,6.0,6.309803919971486
CHEMBL1945047,OCCN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,350.0,active,402.4980000000001,4.020200000000003,2.0,6.0,6.455931955649724
CHEMBL1945048,O=C(N1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)C(F)(F)F,10000.0,inactive,454.4520000000001,5.116800000000003,1.0,5.0,5.0
CHEMBL1945049,CC(C)NCC(=O)N1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,140.0,active,457.57800000000015,4.552500000000004,2.0,6.0,6.853871964321762
